id,age,salary,department_id,score,years_experience
0,50,54008,7,5.78,26
1,28,73360,12,24.26,5
2,34,61359,11,66.62,8
3,32,62833,2,30.35,3
4,31,59555,12,5.78,4
5,46,60185,2,75.52,10
6,42,89749,16,70.5,17
7,30,183785,12,53.32,7
8,37,213390,12,99.16,8
9,24,63164,4,74.71,0
10,23,71360,9,9.9,0
11,39,227585,17,91.27,5
12,39,62273,10,87.34,7
13,24,128178,9,8.74,1
14,30,60654,10,17.36,5
15,31,59150,9,37.56,7
16,21,62413,16,96.25,1
17,28,88717,20,68.32,2
18,37,51181,14,15.75,0
19,48,114530,17,12.91,12
20,38,61611,13,96.96,10
21,49,249580,10,4.32,16
22,27,50045,9,4.93,1
23,29,180009,3,43.48,2
24,24,77870,2,68.64,2
25,19,1346989,5,58.78,1
26,18,3389452,3,76.23,1
27,44,424956,12,84.16,18
28,22,162503,16,6.72,0
29,22,54917,5,29.52,0
30,46,53772,14,54.26,23
31,20,480972,15,39.9,1
32,32,2382605,16,47.11,0
33,51,76788,2,26.99,28
34,32,54821,1,66.43,3
35,46,162794,16,25.66,9
36,35,77536,20,62.0,11
37,27,282691,11,46.73,4
38,35,56270,14,27.42,6
39,31,53892,13,90.95,9
40,29,74557,3,91.58,7
41,28,123335,2,71.13,5
42,28,52802,12,62.82,1
43,33,53464,3,8.73,4
44,48,124394,1,9.16,25
45,51,359913,15,95.87,10
46,43,311664,15,52.07,1
47,30,123184,3,59.73,1
48,29,52113,20,60.07,4
49,33,141084,2,96.1,8
50,18,135268,9,28.89,1
51,38,72577,11,29.1,9
52,35,79068,7,13.21,5
53,31,72497,3,27.31,5
54,32,93168,13,62.13,4
55,32,1486689,14,77.92,8
56,21,68191,12,77.99,1
57,36,71952,17,51.62,7
58,24,139319,9,81.97,1
59,32,644479,5,46.98,10
60,39,63122,6,28.46,17
61,35,159143,4,8.3,12
62,32,931166,3,21.45,6
63,37,99165,11,13.65,0
64,53,146482,17,69.85,3
65,26,1685972,20,88.45,3
66,49,113373,15,32.17,2
67,37,50711,9,39.79,0
68,42,250949,2,14.35,16
69,20,59241,4,30.08,1
70,51,203190,12,17.72,10
71,26,61126,16,72.57,3
72,40,50551,11,30.22,10
73,36,66271,15,2.05,10
74,35,61000,20,25.4,13
75,23,235485,1,12.27,1
76,31,55502,19,59.9,3
77,35,444893,15,44.46,7
78,51,424191,8,19.27,7
79,32,241903,19,10.13,5
80,42,65493,17,62.53,6
81,37,355323,6,48.02,6
82,28,52933,2,42.88,5
83,37,377523,14,0.8,2
84,35,211637,12,42.2,8
85,35,195547,7,45.16,4
86,47,177451,18,60.43,25
87,40,68105,6,71.85,14
88,34,139293,1,20.28,8
89,32,53104,5,39.58,5
90,31,84230,16,32.49,4
91,20,267763,6,47.94,1
92,26,2366917,20,97.21,1
93,21,60284,10,25.83,1
94,39,127913,1,14.93,9
95,46,132584,14,89.09,22
96,44,58690,16,62.35,1
97,42,69267,9,90.73,4
98,43,50133,1,9.87,6
99,36,81346,12,70.69,6
100,41,334973,18,82.58,15
101,26,70494,2,59.78,4
102,29,2069892,12,81.9,4
103,60,67656,7,94.55,36
104,28,58515,1,12.6,1
105,53,87015,16,62.9,30
106,36,119993,17,84.02,0
107,32,181059,8,91.56,0
108,31,127971,3,84.9,8
109,35,82840,6,99.64,11
110,30,119374,10,6.47,3
111,45,58714,17,52.3,4
112,37,504485,1,35.14,11
113,47,72186,3,32.7,1
114,35,53503,9,66.67,2
115,42,53064,15,36.78,19
116,51,383088,5,37.62,5
117,38,62126,15,6.75,10
118,21,77277,18,11.46,0
119,36,179800,6,70.21,8
120,42,101643,19,18.29,14
121,38,118588,2,10.52,3
122,20,67631,12,88.43,1
123,27,147370,13,55.37,4
124,50,121691,16,0.31,27
125,32,131980,1,95.76,3
126,18,819807,9,41.76,1
127,38,93868,9,70.66,14
128,28,101243,1,33.75,3
129,57,72513,18,69.81,21
130,27,201623,20,94.85,5
131,28,883109,10,21.59,6
